Total of 187 directories 
     key    d_min   signal pred_signal
1zyb/w1/  4.50  10.310   9.300 
1zyb/w1/  5.00   8.870   7.900 
1zyb/w1/  5.50   7.470   6.900 
1zyb/w1/  6.00   6.810   6.100 
1zyb/w2/  2.10  12.670  16.900 
1zyb/w2/  2.50  16.570  16.800 
1zyb/w2/  3.00  17.930  15.100 
1zyb/w2/  3.50  16.870  12.700 
1zyb/w2/  4.00  14.420  10.600 
1zyb/w2/  4.50  12.580   9.000 
1zyb/w2/  5.00  10.880   7.700 
1zyb/w2/  5.50   9.040   6.700 
1zyb/w2/  6.00   8.120   5.900 
2a2o/w1/  2.16  22.740  14.300 
2a2o/w1/  2.50  23.340  13.800 
2a2o/w1/  3.00  21.270  12.300 
2a2o/w1/  3.50  18.340  10.500 
2a2o/w1/  4.00  15.550   8.800 
2a2o/w1/  4.50  13.150   7.500 
2a2o/w1/  5.00  11.330   6.500 
2a2o/w1/  5.50   9.840   5.700 
2a2o/w1/  6.00   8.600   5.100 
2a2o/w2/  2.16  14.270  10.900 
2a2o/w2/  2.50  15.170  11.500 
2a2o/w2/  3.00  15.360  10.800 
2a2o/w2/  3.50  14.390   9.500 
2a2o/w2/  4.00  13.070   8.100 
2a2o/w2/  4.50  11.620   6.900 
2a2o/w2/  5.00  10.320   6.000 
2a2o/w2/  5.50   9.200   5.300 
2a2o/w2/  6.00   8.240   4.700 
2a3n/w1/  1.23  35.590  36.300 
2a3n/w1/  1.50  35.620  29.900 
2a3n/w1/  2.00  27.220  22.900 
2a3n/w1/  2.50  20.250  17.000 
2a3n/w1/  3.00  15.520  13.200 
2a3n/w1/  3.50  12.050  10.500 
2a3n/w1/  4.00   9.990   8.600 
2a3n/w1/  4.50   8.500   7.200 
2a3n/w1/  5.00   7.290   6.100 
2a3n/w1/  5.50   6.250   5.200 
2a3n/w1/  6.00   5.440   4.600 
2a3n/w2/  1.34  39.550  -1.000 
2a3n/w2/  1.50  38.680  27.500 
2a3n/w2/  2.00  27.900  21.400 
2a3n/w2/  2.50  20.590  16.100 
2a3n/w2/  3.00  15.910  12.500 
2a3n/w2/  3.50  12.290  10.000 
2a3n/w2/  4.00  10.060   8.100 
2a3n/w2/  4.50   8.380   6.800 
2a3n/w2/  5.00   6.930   5.700 
2a3n/w2/  5.50   5.860   4.900 
2a3n/w2/  6.00   5.220   4.300 
2a3n/w3/  1.23  40.240  31.000 
2a3n/w3/  1.50  37.460  29.300 
2a3n/w3/  2.00  27.500  22.900 
2a3n/w3/  2.50  20.440  17.200 
2a3n/w3/  3.00  15.880  13.400 
2a3n/w3/  3.50  12.330  10.700 
2a3n/w3/  4.00  10.000   8.700 
2a3n/w3/  4.50   8.320   7.300 
2a3n/w3/  5.00   6.970   6.200 
2a3n/w3/  5.50   5.860   5.300 
2a3n/w3/  6.00   5.130   4.700 
2a6b/w1/  1.70   6.680   4.300 
2a6b/w1/  2.00   7.730   4.600 
2a6b/w1/  2.50   7.110   4.300 
2a6b/w1/  3.00   5.890   3.700 
2a6b/w1/  3.50   4.880   3.000 
2a6b/w1/  4.00   4.100   2.600 
2a6b/w1/  4.50   3.800   2.200 
2a6b/w1/  5.00   2.720   1.800 
2a6b/w1/  5.50   2.060   1.600 
2a6b/w1/  6.00   1.720   1.400 
2a6b/w2/  2.11  10.040  -1.000 
2a6b/w2/  2.50  11.190  10.100 
2a6b/w2/  3.00  12.280   9.700 
2a6b/w2/  3.50  11.430   8.600 
2a6b/w2/  4.00  10.630   7.300 
2a6b/w2/  4.50   9.250   6.100 
2a6b/w2/  5.00   7.410   5.200 
2a6b/w2/  5.50   6.760   4.500 
2a6b/w2/  6.00   5.620   4.100 
2a6b/w3/  2.11  13.410  -1.000 
2a6b/w3/  2.50  15.880  11.700 
2a6b/w3/  3.00  17.080  11.100 
2a6b/w3/  3.50  15.520   9.700 
2a6b/w3/  4.00  13.220   8.300 
2a6b/w3/  4.50  11.880   7.000 
2a6b/w3/  5.00   9.360   5.900 
2a6b/w3/  5.50   7.910   5.200 
2a6b/w3/  6.00   6.340   4.800 
2a6b/w4/  2.11   9.090  -1.000 
2a6b/w4/  2.50  10.710  12.300 
2a6b/w4/  3.00  11.770  11.600 
2a6b/w4/  3.50  11.570  10.000 
2a6b/w4/  4.00  10.490   8.500 
2a6b/w4/  4.50   9.290   7.100 
2a6b/w4/  5.00   7.340   6.000 
2a6b/w4/  5.50   6.350   5.200 
2a6b/w4/  6.00   5.250   4.800 
2aml/w1/  1.50  23.580  24.400 
2aml/w1/  2.00  24.430  22.500 
2aml/w1/  2.50  20.300  18.000 
2aml/w1/  3.00  15.860  14.400 
2aml/w1/  3.50  12.820  11.700 
2aml/w1/  4.00  10.820   9.600 
2aml/w1/  4.50   9.190   8.100 
2aml/w1/  5.00   7.850   6.800 
2aml/w1/  5.50   6.830   5.900 
2aml/w1/  6.00   5.980   5.200 
2aml/w2/  1.50  34.950  25.800 
2aml/w2/  2.00  29.050  23.400 
2aml/w2/  2.50  22.100  18.500 
2aml/w2/  3.00  16.850  14.700 
2aml/w2/  3.50  13.310  11.900 
2aml/w2/  4.00  11.140   9.800 
2aml/w2/  4.50   9.180   8.100 
2aml/w2/  5.00   7.750   6.900 
2aml/w2/  5.50   6.770   5.900 
2aml/w2/  6.00   6.020   5.200 
2avn/w1/  2.35  13.730  12.500 
2avn/w1/  3.00  14.650  12.500 
2avn/w1/  3.50  14.890  11.500 
2avn/w1/  4.00  13.840  10.000 
2avn/w1/  4.50  12.090   8.600 
2avn/w1/  5.00  10.440   7.400 
2avn/w1/  5.50   8.930   6.500 
2avn/w1/  6.00   7.830   5.800 
2avn/w2/  2.44  10.350  -1.000 
2avn/w2/  3.00  12.370  16.000 
2avn/w2/  3.50  12.180  13.600 
2avn/w2/  4.00  11.380  11.500 
2avn/w2/  4.50  10.140   9.700 
2avn/w2/  5.00   8.930   8.300 
2avn/w2/  5.50   7.670   7.200 
2avn/w2/  6.00   6.920   6.400 
2avn/w3/  2.44   9.960  -1.000 
2avn/w3/  3.00  11.920  14.800 
2avn/w3/  3.50  11.880  13.000 
2avn/w3/  4.00  11.270  11.000 
2avn/w3/  4.50  10.220   9.300 
2avn/w3/  5.00   9.060   8.000 
2avn/w3/  5.50   7.770   7.000 
2avn/w3/  6.00   7.000   6.200 
2b8m/w1/  1.70  16.690  19.600 
2b8m/w1/  2.00  17.020  18.700 
2b8m/w1/  2.50  15.830  15.400 
2b8m/w1/  3.00  13.110  12.600 
2b8m/w1/  3.50  10.390  10.300 
2b8m/w1/  4.00   8.890   8.700 
2b8m/w1/  4.50   7.330   7.400 
2b8m/w1/  5.00   6.010   6.200 
2b8m/w1/  5.50   4.990   5.300 
2b8m/w1/  6.00   4.390   4.700 
2b8m/w2/  1.80   7.800  -1.000 
2b8m/w2/  2.00   7.990  14.100 
2b8m/w2/  2.50   9.240  13.000 
2b8m/w2/  3.00   9.040  11.400 
2b8m/w2/  3.50   8.380   9.500 
2b8m/w2/  4.00   7.880   8.000 
2b8m/w2/  4.50   6.920   6.800 
2b8m/w2/  5.00   5.830   5.800 
2b8m/w2/  5.50   5.200   5.000 
2b8m/w2/  6.00   4.690   4.400 
2b8m/w3/  1.80   1.650  -1.000 
2b8m/w3/  2.00   1.880   2.200 
2b8m/w3/  2.50   2.400   2.200 
2b8m/w3/  3.00   2.180   2.100 
2b8m/w3/  3.50   2.540   1.900 
2b8m/w3/  4.00   2.670   1.600 
2b8m/w3/  4.50   2.430   1.400 
2b8m/w3/  5.00   2.130   1.200 
2b8m/w3/  5.50   2.290   1.000 
2b8m/w3/  6.00   2.200   0.900 
2etd/w1/  2.28   4.470  -1.000 
2etd/w1/  3.00   4.810   2.800 
2etd/w1/  3.50   4.740   2.600 
2etd/w1/  4.00   4.630   2.300 
2etd/w1/  4.50   3.790   2.000 
2etd/w1/  5.00   3.510   1.700 
2etd/w1/  5.50   2.570   1.500 
2etd/w1/  6.00   1.660   1.300 
2etd/w2/  2.28  24.470  -1.000 
2etd/w2/  3.00  21.920  15.400 
2etd/w2/  3.50  19.330  13.000 
2etd/w2/  4.00  17.810  10.900 
2etd/w2/  4.50  15.200   9.100 
2etd/w2/  5.00  13.830   7.800 
2etd/w2/  5.50  11.800   6.800 
2etd/w2/  6.00   9.620   6.000 
2etd/w3/  2.29  28.940  -1.000 
