Total of 187 directories 
     key    d_min   signal pred_signal
2ozj/w2/  4.50   6.330   8.500 
2ozj/w2/  5.00   5.630   7.200 
2ozj/w2/  5.50   4.930   6.300 
2ozj/w2/  6.00   4.290   5.500 
2ozj/w3/  1.60  11.270  29.000 
2ozj/w3/  2.00  14.620  25.600 
2ozj/w3/  2.50  14.240  19.800 
2ozj/w3/  3.00  12.140  15.500 
2ozj/w3/  3.50   9.980  12.400 
2ozj/w3/  4.00   8.390  10.200 
2ozj/w3/  4.50   6.720   8.500 
2ozj/w3/  5.00   5.900   7.300 
2ozj/w3/  5.50   5.100   6.300 
2ozj/w3/  6.00   4.380   5.500 
2p10/w1/  2.15   8.130  10.800 
2p10/w1/  2.50   8.830  10.800 
2p10/w1/  3.00   9.520  10.300 
2p10/w1/  3.50   9.410   9.100 
2p10/w1/  4.00   8.580   7.800 
2p10/w1/  4.50   7.530   6.600 
2p10/w1/  5.00   6.440   5.700 
2p10/w1/  5.50   5.590   5.000 
2p10/w1/  6.00   5.000   4.500 
2p10/w2/  2.15   3.640  13.300 
2p10/w2/  2.50   4.100  12.900 
2p10/w2/  3.00   4.810  11.800 
2p10/w2/  3.50   5.330  10.100 
2p10/w2/  4.00   5.310   8.500 
2p10/w2/  4.50   5.080   7.200 
2p10/w2/  5.00   4.690   6.100 
2p10/w2/  5.50   4.130   5.400 
2p10/w2/  6.00   3.870   4.800 
2p4o/w1/  1.90  16.380  21.400 
2p4o/w1/  2.50  19.980  21.800 
2p4o/w1/  3.00  18.490  18.800 
2p4o/w1/  3.50  15.260  15.600 
2p4o/w1/  4.00  13.390  13.000 
2p4o/w1/  4.50  11.440  11.000 
2p4o/w1/  5.00   9.900   9.500 
2p4o/w1/  5.50   8.750   8.300 
2p4o/w1/  6.00   8.160   7.300 
2p4o/w2/  1.95  21.980  -1.000 
2p4o/w2/  2.50  24.340  22.700 
2p4o/w2/  3.00  21.340  19.600 
2p4o/w2/  3.50  17.230  16.200 
2p4o/w2/  4.00  14.680  13.500 
2p4o/w2/  4.50  12.360  11.400 
2p4o/w2/  5.00  10.490   9.800 
2p4o/w2/  5.50   9.040   8.600 
2p4o/w2/  6.00   8.300   7.600 
2p4o/w3/  1.90  17.020  22.900 
2p4o/w3/  2.50  20.850  22.600 
2p4o/w3/  3.00  18.850  19.400 
2p4o/w3/  3.50  15.440  16.000 
2p4o/w3/  4.00  13.340  13.400 
2p4o/w3/  4.50  11.570  11.300 
2p4o/w3/  5.00  10.220   9.700 
2p4o/w3/  5.50   8.970   8.500 
2p4o/w3/  6.00   8.390   7.500 
2p7h/w1/  1.85  22.520  17.700 
2p7h/w1/  2.50  26.470  17.600 
2p7h/w1/  3.00  23.420  15.600 
2p7h/w1/  3.50  19.410  13.200 
2p7h/w1/  4.00  16.900  11.100 
2p7h/w1/  4.50  14.160   9.400 
2p7h/w1/  5.00  12.030   8.100 
2p7h/w1/  5.50  10.600   7.100 
2p7h/w1/  6.00   8.760   6.200 
2p7i/w1/  1.74  23.350  24.000 
2p7i/w1/  2.00  25.910  24.900 
2p7i/w1/  2.50  28.290  22.700 
2p7i/w1/  3.00  25.420  19.100 
2p7i/w1/  3.50  21.590  15.700 
2p7i/w1/  4.00  17.700  13.100 
2p7i/w1/  4.50  15.260  11.000 
2p7i/w1/  5.00  13.430   9.400 
2p7i/w1/  5.50  11.230   8.200 
2p7i/w1/  6.00   9.060   7.200 
2p7i/w2/  1.79  26.320  -1.000 
2p7i/w2/  2.00  28.300  23.600 
2p7i/w2/  2.50  29.830  22.000 
2p7i/w2/  3.00  26.390  18.600 
2p7i/w2/  3.50  22.220  15.400 
2p7i/w2/  4.00  18.030  12.800 
2p7i/w2/  4.50  15.510  10.800 
2p7i/w2/  5.00  13.680   9.200 
2p7i/w2/  5.50  11.230   8.000 
2p7i/w2/  6.00   9.010   7.000 
2p97/w1/  1.65  26.770  29.200 
2p97/w1/  2.00  29.350  29.400 
2p97/w1/  2.50  26.070  25.200 
2p97/w1/  3.00  21.290  20.600 
2p97/w1/  3.50  16.420  16.800 
2p97/w1/  4.00  13.130  13.800 
2p97/w1/  4.50  11.120  11.600 
2p97/w1/  5.00   9.430   9.800 
2p97/w1/  5.50   7.690   8.500 
2p97/w1/  6.00   6.970   7.500 
2p97/w2/  1.65  18.960  25.500 
2p97/w2/  2.00  22.490  27.100 
2p97/w2/  2.50  21.480  23.200 
2p97/w2/  3.00  18.340  19.100 
2p97/w2/  3.50  15.330  15.600 
2p97/w2/  4.00  12.890  12.700 
2p97/w2/  4.50  11.190  10.600 
2p97/w2/  5.00   9.890   9.000 
2p97/w2/  5.50   8.310   7.800 
2p97/w2/  6.00   7.540   6.800 
2p97/w3/  1.65  17.540  24.000 
2p97/w3/  2.00  20.700  25.700 
2p97/w3/  2.50  20.020  22.200 
2p97/w3/  3.00  17.070  18.300 
2p97/w3/  3.50  14.140  14.900 
2p97/w3/  4.00  11.840  12.200 
2p97/w3/  4.50  10.360  10.100 
2p97/w3/  5.00   9.350   8.600 
2p97/w3/  5.50   7.970   7.400 
2p97/w3/  6.00   7.310   6.500 
2p97/w4/  1.65  23.540  24.300 
2p97/w4/  2.00  25.910  26.200 
2p97/w4/  2.50  24.090  22.900 
2p97/w4/  3.00  20.220  19.000 
2p97/w4/  3.50  16.430  15.500 
2p97/w4/  4.00  13.700  12.800 
2p97/w4/  4.50  11.740  10.700 
2p97/w4/  5.00  10.250   9.100 
2p97/w4/  5.50   8.520   7.800 
2p97/w4/  6.00   7.800   6.800 
2pg3/w1/  2.40  16.240  19.700 
2pg3/w1/  3.00  16.900  18.900 
2pg3/w1/  3.50  14.500  16.400 
2pg3/w1/  4.00  12.830  13.800 
2pg3/w1/  4.50  10.730  11.600 
2pg3/w1/  5.00   8.850  10.000 
2pg3/w1/  5.50   7.630   8.700 
2pg3/w1/  6.00   6.690   7.800 
2pg4/w1/  2.21   7.530  14.700 
2pg4/w1/  2.50   8.020  14.800 
2pg4/w1/  3.00   8.640  13.700 
2pg4/w1/  3.50   8.550  11.900 
2pg4/w1/  4.00   7.550  10.100 
2pg4/w1/  4.50   6.450   8.600 
2pg4/w1/  5.00   6.090   7.400 
2pg4/w1/  5.50   5.280   6.500 
2pg4/w1/  6.00   5.000   5.800 
2pg4/w2/  2.21   9.680  16.300 
2pg4/w2/  2.50  10.620  16.200 
2pg4/w2/  3.00  11.440  14.800 
2pg4/w2/  3.50  10.780  12.700 
2pg4/w2/  4.00   9.290  10.700 
2pg4/w2/  4.50   7.670   9.100 
2pg4/w2/  5.00   6.970   7.800 
2pg4/w2/  5.50   5.840   6.800 
2pg4/w2/  6.00   5.350   6.000 
2pgc/w1/  2.53   6.350  12.000 
2pgc/w1/  3.00   7.570  11.300 
2pgc/w1/  3.50   8.290   9.900 
2pgc/w1/  4.00   7.840   8.400 
2pgc/w1/  4.50   7.020   7.100 
2pgc/w1/  5.00   6.110   6.100 
2pgc/w1/  5.50   5.280   5.300 
2pgc/w1/  6.00   4.760   4.700 
2pgc/w2/  2.60   5.890  -1.000 
2pgc/w2/  3.00   6.890  11.100 
2pgc/w2/  3.50   7.860   9.800 
2pgc/w2/  4.00   7.450   8.300 
2pgc/w2/  4.50   6.780   7.100 
2pgc/w2/  5.00   5.960   6.100 
2pgc/w2/  5.50   5.220   5.300 
2pgc/w2/  6.00   4.760   4.700 
2pim/w1/  2.20  11.650  14.100 
2pim/w1/  2.50  12.220  13.700 
2pim/w1/  3.00  12.290  12.100 
2pim/w1/  3.50  10.880  10.200 
2pim/w1/  4.00   9.170   8.500 
2pim/w1/  4.50   7.550   7.100 
2pim/w1/  5.00   6.180   6.100 
2pim/w1/  5.50   5.540   5.300 
2pim/w1/  6.00   4.820   4.700 
2pim/w2/  2.20  14.870  14.500 
2pim/w2/  2.50  14.500  14.000 
2pim/w2/  3.00  13.250  12.300 
2pim/w2/  3.50  11.200  10.300 
2pim/w2/  4.00   9.060   8.600 
2pim/w2/  4.50   7.400   7.200 
2pim/w2/  5.00   5.890   6.100 
2pim/w2/  5.50   5.250   5.400 
2pim/w2/  6.00   4.560   4.800 
2pn1/w1/  2.00   9.720  11.100 
2pn1/w1/  2.50   9.830  11.200 
2pn1/w1/  3.00  10.050  10.500 
2pn1/w1/  3.50  10.100   9.300 
2pn1/w1/  4.00   9.460   7.900 
2pn1/w1/  4.50   8.170   6.600 
2pn1/w1/  5.00   7.000   5.600 
2pn1/w1/  5.50   6.340   4.900 
2pn1/w1/  6.00   5.800   4.400 
2pn1/w2/  2.00  13.200  12.300 
2pn1/w2/  2.50  13.020  12.200 
2pn1/w2/  3.00  12.670  11.300 
2pn1/w2/  3.50  11.720   9.900 
2pn1/w2/  4.00  10.860   8.300 
2pn1/w2/  4.50   9.060   7.000 
2pn1/w2/  5.00   7.700   5.900 
2pn1/w2/  5.50   6.740   5.200 
2pn1/w2/  6.00   5.910   4.700 
2pnk/w1/  2.00  10.200  13.900 
2pnk/w1/  2.50  11.740  13.000 
2pnk/w1/  3.00  11.650  11.500 
2pnk/w1/  3.50  10.390   9.700 
2pnk/w1/  4.00   8.870   8.100 
2pnk/w1/  4.50   7.440   6.800 
2pnk/w1/  5.00   6.430   5.800 
2pnk/w1/  5.50   5.690   5.100 
2pnk/w1/  6.00   4.970   4.500 
2pnk/w2/  2.00  11.160  15.100 
2pnk/w2/  2.50  12.080  13.400 
2pnk/w2/  3.00  11.680  11.800 
2pnk/w2/  3.50  10.170   9.900 
2pnk/w2/  4.00   8.550   8.300 
2pnk/w2/  4.50   7.080   7.000 
2pnk/w2/  5.00   6.040   6.000 
2pnk/w2/  5.50   5.300   5.200 
2pnk/w2/  6.00   4.640   4.600 
2ppv/w1/  2.00  10.110  15.600 
2ppv/w1/  2.50  13.900  15.600 
2ppv/w1/  3.00  14.500  13.900 
2ppv/w1/  3.50  13.490  11.800 
2ppv/w1/  4.00  12.080  10.000 
2ppv/w1/  4.50  10.620   8.400 
2ppv/w1/  5.00   9.460   7.200 
2ppv/w1/  5.50   8.270   6.300 
2ppv/w1/  6.00   7.250   5.600 
2ppv/w2/  2.11   9.890  -1.000 
2ppv/w2/  2.50  12.410  12.700 
2ppv/w2/  3.00  13.340  12.000 
2ppv/w2/  3.50  13.270  10.600 
2ppv/w2/  4.00  12.450   9.000 
2ppv/w2/  4.50  11.390   7.700 
2ppv/w2/  5.00  10.030   6.600 
2ppv/w2/  5.50   8.810   5.800 
2ppv/w2/  6.00   7.770   5.100 
2pr7/w1/  1.44  20.110  34.800 
2pr7/w1/  2.00  22.780  28.900 
2pr7/w1/  2.50  19.340  22.700 
2pr7/w1/  3.00  15.530  17.900 
2pr7/w1/  3.50  12.190  14.400 
2pr7/w1/  4.00  10.340  11.800 
2pr7/w1/  4.50   8.820   9.800 
2pr7/w1/  5.00   7.850   8.400 
2pr7/w1/  5.50   6.820   7.300 
2pr7/w1/  6.00   5.770   6.400 
2pr7/w2/  1.55  17.140  -1.000 
2pr7/w2/  2.00  18.690  31.000 
2pr7/w2/  2.50  16.130  24.200 
2pr7/w2/  3.00  12.860  19.000 
2pr7/w2/  3.50  10.230  15.300 
2pr7/w2/  4.00   9.010  12.600 
2pr7/w2/  4.50   7.710  10.500 
2pr7/w2/  5.00   6.850   9.000 
2pr7/w2/  5.50   6.030   7.800 
2pr7/w2/  6.00   5.290   6.900 
2prv/w1/  1.30  31.800  35.300 
2prv/w1/  2.00  31.420  29.900 
2prv/w1/  2.50  23.270  23.300 
2prv/w1/  3.00  18.320  18.400 
2prv/w1/  3.50  15.540  14.800 
2prv/w1/  4.00  13.120  12.200 
2prv/w1/  4.50  10.750  10.200 
2prv/w1/  5.00   9.350   8.600 
2prv/w1/  5.50   8.460   7.500 
2prv/w1/  6.00   7.520   6.600 
2prv/w2/  1.30  22.280  36.700 
2prv/w2/  2.00  22.050  30.500 
2prv/w2/  2.50  16.400  23.700 
2prv/w2/  3.00  12.580  18.700 
2prv/w2/  3.50  10.120  15.100 
2prv/w2/  4.00   8.400  12.400 
2prv/w2/  4.50   7.000  10.400 
2prv/w2/  5.00   6.320   8.800 
2prv/w2/  5.50   5.870   7.600 
2prv/w2/  6.00   5.210   6.700 
2prv/w3/  1.37  29.450  -1.000 
2prv/w3/  2.00  30.170  33.100 
2prv/w3/  2.50  23.610  26.000 
2prv/w3/  3.00  18.700  20.600 
2prv/w3/  3.50  15.400  16.600 
2prv/w3/  4.00  13.280  13.600 
2prv/w3/  4.50  10.910  11.400 
2prv/w3/  5.00   9.560   9.700 
2prv/w3/  5.50   8.750   8.400 
2prv/w3/  6.00   7.810   7.400 
2pv4/w1/  1.95  17.150  18.000 
2pv4/w1/  2.50  17.440  16.900 
2pv4/w1/  3.00  14.290  14.200 
2pv4/w1/  3.50  11.900  11.600 
2pv4/w1/  4.00   9.500   9.600 
2pv4/w1/  4.50   7.260   8.100 
2pv4/w1/  5.00   5.680   6.900 
2pv4/w1/  5.50   4.790   6.000 
2pv4/w1/  6.00   4.260   5.300 
2pv4/w2/  1.95  20.920  18.100 
2pv4/w2/  2.50  18.710  16.900 
2pv4/w2/  3.00  14.780  14.200 
2pv4/w2/  3.50  11.800  11.600 
2pv4/w2/  4.00   9.300   9.500 
2pv4/w2/  4.50   7.150   8.000 
2pv4/w2/  5.00   5.590   6.900 
2pv4/w2/  5.50   4.610   6.000 
2pv4/w2/  6.00   4.100   5.300 
2pv4/w3/  1.95  21.880  18.100 
2pv4/w3/  2.50  19.170  17.000 
2pv4/w3/  3.00  15.050  14.200 
2pv4/w3/  3.50  11.840  11.600 
2pv4/w3/  4.00   9.260   9.600 
2pv4/w3/  4.50   7.250   8.000 
2pv4/w3/  5.00   5.600   6.900 
2pv4/w3/  5.50   4.680   6.000 
2pv4/w3/  6.00   4.120   5.300 
2pw4/w1/  1.45  23.970  38.500 
2pw4/w1/  2.00  29.310  36.000 
2pw4/w1/  2.50  25.330  28.700 
2pw4/w1/  3.00  20.870  22.900 
2pw4/w1/  3.50  16.220  18.600 
2pw4/w1/  4.00  13.350  15.300 
2pw4/w1/  4.50  11.020  12.800 
2pw4/w1/  5.00   8.950  10.800 
2pw4/w1/  5.50   8.090   9.400 
2pw4/w1/  6.00   7.250   8.300 
2pw4/w2/  1.45  19.580  40.600 
2pw4/w2/  2.00  24.860  37.100 
2pw4/w2/  2.50  22.300  29.400 
2pw4/w2/  3.00  18.650  23.300 
2pw4/w2/  3.50  14.910  18.900 
2pw4/w2/  4.00  11.980  15.500 
2pw4/w2/  4.50  10.100  13.000 
2pw4/w2/  5.00   7.890  11.000 
2pw4/w2/  5.50   7.290   9.600 
2pw4/w2/  6.00   6.640   8.400 
2pw4/w3/  1.45  30.140  40.800 
2pw4/w3/  2.00  34.930  37.500 
2pw4/w3/  2.50  29.560  29.900 
2pw4/w3/  3.00  24.010  23.800 
2pw4/w3/  3.50  18.900  19.300 
2pw4/w3/  4.00  15.500  15.800 
2pw4/w3/  4.50  12.850  13.300 
2pw4/w3/  5.00  10.270  11.300 
2pw4/w3/  5.50   9.270   9.800 
2pw4/w3/  6.00   8.390   8.600 
