Total of 228 directories 
     key    d_min fraction_found  Signal
2ozg/w3/  5.00   1.000  11.570 
2ozg/w3/  5.50   1.000   9.890 
2ozg/w3/  6.00   1.000   8.850 
2ozj/w1/  1.60   0.889  16.370 
2ozj/w1/  2.00   1.000  17.800 
2ozj/w1/  2.50   0.889  15.360 
2ozj/w1/  3.00   0.889  12.460 
2ozj/w1/  3.50   0.778   9.850 
2ozj/w1/  4.00   0.778   8.160 
2ozj/w1/  4.50   0.778   6.380 
2ozj/w1/  5.00   0.111   5.550 
2ozj/w1/  5.50   0.000   4.820 
2ozj/w1/  6.00   0.111   4.040 
2ozj/w2/  1.60   0.667  10.200 
2ozj/w2/  2.00   0.667  12.790 
2ozj/w2/  2.50   0.778  12.930 
2ozj/w2/  3.00   0.778  11.160 
2ozj/w2/  3.50   0.667   9.070 
2ozj/w2/  4.00   0.667   7.810 
2ozj/w2/  4.50   0.667   6.330 
2ozj/w2/  5.00   0.000   5.630 
2ozj/w2/  5.50   0.222   4.930 
2ozj/w2/  6.00   0.111   4.290 
2ozj/w3/  1.60   1.000  11.270 
2ozj/w3/  2.00   0.778  14.620 
2ozj/w3/  2.50   1.000  14.240 
2ozj/w3/  3.00   0.778  12.140 
2ozj/w3/  3.50   0.778   9.980 
2ozj/w3/  4.00   0.778   8.390 
2ozj/w3/  4.50   0.667   6.720 
2ozj/w3/  5.00   0.333   5.900 
2ozj/w3/  5.50   0.000   5.100 
2ozj/w3/  6.00   0.000   4.380 
2p10/w1/  2.15   0.000   8.130 
2p10/w1/  2.50   0.000   8.830 
2p10/w1/  3.00   0.000   9.520 
2p10/w1/  3.50   0.000   9.410 
2p10/w1/  4.00   0.030   8.580 
2p10/w1/  4.50   0.015   7.530 
2p10/w1/  5.00   0.015   6.440 
2p10/w1/  5.50   0.015   5.590 
2p10/w1/  6.00   0.015   5.000 
2p10/w2/  2.15   0.000   3.640 
2p10/w2/  2.50   0.000   4.100 
2p10/w2/  3.00   0.000   4.810 
2p10/w2/  3.50   0.000   5.330 
2p10/w2/  4.00   0.000   5.310 
2p10/w2/  4.50   0.000   5.080 
2p10/w2/  5.00   0.000   4.690 
2p10/w2/  5.50   0.000   4.130 
2p10/w2/  6.00   0.015   3.870 
2p4o/w1/  1.90   1.000  16.380 
2p4o/w1/  2.50   1.000  19.980 
2p4o/w1/  3.00   1.000  18.490 
2p4o/w1/  3.50   1.000  15.260 
2p4o/w1/  4.00   1.000  13.390 
2p4o/w1/  4.50   1.000  11.440 
2p4o/w1/  5.00   1.000   9.900 
2p4o/w1/  5.50   0.750   8.750 
2p4o/w1/  6.00   0.750   8.160 
2p4o/w2/  1.95   1.000  21.980 
2p4o/w2/  2.50   1.000  24.340 
2p4o/w2/  3.00   1.000  21.340 
2p4o/w2/  3.50   1.000  17.230 
2p4o/w2/  4.00   1.000  14.680 
2p4o/w2/  4.50   1.000  12.360 
2p4o/w2/  5.00   1.000  10.490 
2p4o/w2/  5.50   1.000   9.040 
2p4o/w2/  6.00   0.750   8.300 
2p4o/w3/  1.90   1.000  17.020 
2p4o/w3/  2.50   1.000  20.850 
2p4o/w3/  3.00   1.000  18.850 
2p4o/w3/  3.50   1.000  15.440 
2p4o/w3/  4.00   1.000  13.340 
2p4o/w3/  4.50   1.000  11.570 
2p4o/w3/  5.00   1.000  10.220 
2p4o/w3/  5.50   0.750   8.970 
2p4o/w3/  6.00   0.750   8.390 
2p7h/w1/  1.85   1.000  22.520 
2p7h/w1/  2.50   1.000  26.470 
2p7h/w1/  3.00   1.000  23.420 
2p7h/w1/  3.50   1.000  19.410 
2p7h/w1/  4.00   1.000  16.900 
2p7h/w1/  4.50   1.000  14.160 
2p7h/w1/  5.00   1.000  12.030 
2p7h/w1/  5.50   1.000  10.600 
2p7h/w1/  6.00   0.000   8.760 
2p7i/w1/  1.74   1.000  23.350 
2p7i/w1/  2.00   1.000  25.910 
2p7i/w1/  2.50   1.000  28.290 
2p7i/w1/  3.00   1.000  25.420 
2p7i/w1/  3.50   1.000  21.590 
2p7i/w1/  4.00   1.000  17.700 
2p7i/w1/  4.50   1.000  15.260 
2p7i/w1/  5.00   1.000  13.430 
2p7i/w1/  5.50   1.000  11.230 
2p7i/w1/  6.00   1.000   9.060 
2p7i/w2/  1.79   1.000  26.320 
2p7i/w2/  2.00   1.000  28.300 
2p7i/w2/  2.50   1.000  29.830 
2p7i/w2/  3.00   1.000  26.390 
2p7i/w2/  3.50   1.000  22.220 
2p7i/w2/  4.00   1.000  18.030 
2p7i/w2/  4.50   1.000  15.510 
2p7i/w2/  5.00   1.000  13.680 
2p7i/w2/  5.50   1.000  11.230 
2p7i/w2/  6.00   1.000   9.010 
2p97/w1/  1.65   0.900  26.770 
2p97/w1/  2.00   0.900  29.350 
2p97/w1/  2.50   0.900  26.070 
2p97/w1/  3.00   0.900  21.290 
2p97/w1/  3.50   0.900  16.420 
2p97/w1/  4.00   0.900  13.130 
2p97/w1/  4.50   0.800  11.120 
2p97/w1/  5.00   0.800   9.430 
2p97/w1/  5.50   0.000   7.690 
2p97/w1/  6.00   0.100   6.970 
2p97/w2/  1.65   0.800  18.960 
2p97/w2/  2.00   0.800  22.490 
2p97/w2/  2.50   0.800  21.480 
2p97/w2/  3.00   0.900  18.340 
2p97/w2/  3.50   0.800  15.330 
2p97/w2/  4.00   0.800  12.890 
2p97/w2/  4.50   0.800  11.190 
2p97/w2/  5.00   0.700   9.890 
2p97/w2/  5.50   0.700   8.310 
2p97/w2/  6.00   0.600   7.540 
2p97/w3/  1.65   0.800  17.540 
2p97/w3/  2.00   0.800  20.700 
2p97/w3/  2.50   0.800  20.020 
2p97/w3/  3.00   0.900  17.070 
2p97/w3/  3.50   0.800  14.140 
2p97/w3/  4.00   0.800  11.840 
2p97/w3/  4.50   0.700  10.360 
2p97/w3/  5.00   0.700   9.350 
2p97/w3/  5.50   0.600   7.970 
2p97/w3/  6.00   0.600   7.310 
2p97/w4/  1.65   0.800  23.540 
2p97/w4/  2.00   0.800  25.910 
2p97/w4/  2.50   0.900  24.090 
2p97/w4/  3.00   0.900  20.220 
2p97/w4/  3.50   0.900  16.430 
2p97/w4/  4.00   0.800  13.700 
2p97/w4/  4.50   0.800  11.740 
2p97/w4/  5.00   0.800  10.250 
2p97/w4/  5.50   0.600   8.520 
2p97/w4/  6.00   0.600   7.800 
2pg3/w1/  2.40   1.000  16.240 
2pg3/w1/  3.00   1.000  16.900 
2pg3/w1/  3.50   1.000  14.500 
2pg3/w1/  4.00   1.000  12.830 
2pg3/w1/  4.50   1.000  10.730 
2pg3/w1/  5.00   1.000   8.850 
2pg3/w1/  5.50   1.000   7.630 
2pg3/w1/  6.00   0.000   6.690 
2pg4/w1/  2.21   0.000   7.530 
2pg4/w1/  2.50   0.000   8.020 
2pg4/w1/  3.00   0.333   8.640 
2pg4/w1/  3.50   0.000   8.550 
2pg4/w1/  4.00   0.000   7.550 
2pg4/w1/  4.50   0.000   6.450 
2pg4/w1/  5.00   0.000   6.090 
2pg4/w1/  5.50   0.000   5.280 
2pg4/w1/  6.00   0.333   5.000 
2pg4/w2/  2.21   1.000   9.680 
2pg4/w2/  2.50   1.000  10.620 
2pg4/w2/  3.00   1.000  11.440 
2pg4/w2/  3.50   1.000  10.780 
2pg4/w2/  4.00   0.667   9.290 
2pg4/w2/  4.50   0.333   7.670 
2pg4/w2/  5.00   0.333   6.970 
2pg4/w2/  5.50   0.667   5.840 
2pg4/w2/  6.00   0.667   5.350 
2pgc/w1/  2.53   0.026   6.350 
2pgc/w1/  3.00   0.026   7.570 
2pgc/w1/  3.50   0.026   8.290 
2pgc/w1/  4.00   0.026   7.840 
2pgc/w1/  4.50   0.026   7.020 
2pgc/w1/  5.00   0.053   6.110 
2pgc/w1/  5.50   0.026   5.280 
2pgc/w1/  6.00   0.000   4.760 
2pgc/w2/  2.60   0.000   5.890 
2pgc/w2/  3.00   0.000   6.890 
2pgc/w2/  3.50   0.000   7.860 
2pgc/w2/  4.00   0.026   7.450 
2pgc/w2/  4.50   0.053   6.780 
2pgc/w2/  5.00   0.026   5.960 
2pgc/w2/  5.50   0.026   5.220 
2pgc/w2/  6.00   0.000   4.760 
2pim/w1/  2.20   1.000  11.650 
2pim/w1/  2.50   1.000  12.220 
2pim/w1/  3.00   1.000  12.290 
2pim/w1/  3.50   1.000  10.880 
2pim/w1/  4.00   1.000   9.170 
2pim/w1/  4.50   1.000   7.550 
2pim/w1/  5.00   0.200   6.180 
2pim/w1/  5.50   0.000   5.540 
2pim/w1/  6.00   0.200   4.820 
2pim/w2/  2.20   1.000  14.870 
2pim/w2/  2.50   1.000  14.500 
2pim/w2/  3.00   1.000  13.250 
2pim/w2/  3.50   1.000  11.200 
2pim/w2/  4.00   1.000   9.060 
2pim/w2/  4.50   1.000   7.400 
2pim/w2/  5.00   0.600   5.890 
2pim/w2/  5.50   0.400   5.250 
2pim/w2/  6.00   0.000   4.560 
2pn1/w1/  2.00   0.143   9.720 
2pn1/w1/  2.50   1.000   9.830 
2pn1/w1/  3.00   1.000  10.050 
2pn1/w1/  3.50   1.000  10.100 
2pn1/w1/  4.00   0.857   9.460 
2pn1/w1/  4.50   1.000   8.170 
2pn1/w1/  5.00   0.143   7.000 
2pn1/w1/  5.50   0.000   6.340 
2pn1/w1/  6.00   0.000   5.800 
2pn1/w2/  2.00   0.429  13.200 
2pn1/w2/  2.50   1.000  13.020 
2pn1/w2/  3.00   1.000  12.670 
2pn1/w2/  3.50   1.000  11.720 
2pn1/w2/  4.00   1.000  10.860 
2pn1/w2/  4.50   1.000   9.060 
2pn1/w2/  5.00   1.000   7.700 
2pn1/w2/  5.50   1.000   6.740 
2pn1/w2/  6.00   0.000   5.910 
2pnk/w1/  2.00  -0.005  10.200 
2pnk/w1/  2.50  -0.005  11.740 
2pnk/w1/  3.00  -0.005  11.650 
2pnk/w1/  3.50  -0.005  10.390 
2pnk/w1/  4.00  -0.005   8.870 
2pnk/w1/  4.50  -0.005   7.440 
2pnk/w1/  5.00  -0.005   6.430 
2pnk/w1/  5.50  -0.005   5.690 
2pnk/w1/  6.00  -0.005   4.970 
2pnk/w2/  2.00  -0.005  11.160 
2pnk/w2/  2.50  -0.005  12.080 
2pnk/w2/  3.00  -0.005  11.680 
2pnk/w2/  3.50  -0.005  10.170 
2pnk/w2/  4.00  -0.005   8.550 
2pnk/w2/  4.50  -0.005   7.080 
2pnk/w2/  5.00  -0.005   6.040 
2pnk/w2/  5.50  -0.005   5.300 
2pnk/w2/  6.00  -0.005   4.640 
2ppv/w1/  2.00   0.000  10.110 
2ppv/w1/  2.50   1.000  13.900 
2ppv/w1/  3.00   1.000  14.500 
2ppv/w1/  3.50   1.000  13.490 
2ppv/w1/  4.00   1.000  12.080 
2ppv/w1/  4.50   1.000  10.620 
2ppv/w1/  5.00   1.000   9.460 
2ppv/w1/  5.50   0.143   8.270 
2ppv/w1/  6.00   0.000   7.250 
2ppv/w2/  2.11   1.000   9.890 
2ppv/w2/  2.50   1.000  12.410 
2ppv/w2/  3.00   1.000  13.340 
2ppv/w2/  3.50   1.000  13.270 
2ppv/w2/  4.00   1.000  12.450 
2ppv/w2/  4.50   1.000  11.390 
2ppv/w2/  5.00   1.000  10.030 
2ppv/w2/  5.50   1.000   8.810 
2ppv/w2/  6.00   0.000   7.770 
2pr1/w1/  3.20   0.200   9.330 
2pr1/w1/  3.50   0.800   9.240 
2pr1/w1/  4.00   0.800   8.340 
2pr1/w1/  4.50   0.733   7.530 
2pr1/w1/  5.00   0.000   6.460 
2pr1/w1/  5.50   0.267   5.760 
2pr1/w1/  6.00   0.000   5.020 
2pr7/w1/  1.44   0.750  20.110 
2pr7/w1/  2.00   1.000  22.780 
2pr7/w1/  2.50   1.000  19.340 
2pr7/w1/  3.00   1.000  15.530 
2pr7/w1/  3.50   1.000  12.190 
2pr7/w1/  4.00   1.000  10.340 
2pr7/w1/  4.50   0.750   8.820 
2pr7/w1/  5.00   0.500   7.850 
2pr7/w1/  5.50   0.750   6.820 
2pr7/w1/  6.00   0.500   5.770 
2pr7/w2/  1.55   0.250  17.140 
2pr7/w2/  2.00   0.500  18.690 
2pr7/w2/  2.50   0.750  16.130 
2pr7/w2/  3.00   0.750  12.860 
2pr7/w2/  3.50   0.500  10.230 
2pr7/w2/  4.00   0.750   9.010 
2pr7/w2/  4.50   0.750   7.710 
2pr7/w2/  5.00   0.250   6.850 
2pr7/w2/  5.50   0.250   6.030 
2pr7/w2/  6.00   0.250   5.290 
2prv/w1/  1.30   1.000  31.800 
2prv/w1/  2.00   1.000  31.420 
2prv/w1/  2.50   0.750  23.270 
2prv/w1/  3.00   0.750  18.320 
2prv/w1/  3.50   0.750  15.540 
2prv/w1/  4.00   0.750  13.120 
2prv/w1/  4.50   0.750  10.750 
2prv/w1/  5.00   0.750   9.350 
2prv/w1/  5.50   0.750   8.460 
2prv/w1/  6.00   0.750   7.520 
2prv/w2/  1.30   0.750  22.280 
2prv/w2/  2.00   0.750  22.050 
2prv/w2/  2.50   1.000  16.400 
2prv/w2/  3.00   0.750  12.580 
2prv/w2/  3.50   0.500  10.120 
2prv/w2/  4.00   0.500   8.400 
2prv/w2/  4.50   0.500   7.000 
2prv/w2/  5.00   0.500   6.320 
2prv/w2/  5.50   0.500   5.870 
2prv/w2/  6.00   0.250   5.210 
2prv/w3/  1.37   1.000  29.450 
2prv/w3/  2.00   1.000  30.170 
2prv/w3/  2.50   1.000  23.610 
2prv/w3/  3.00   1.000  18.700 
2prv/w3/  3.50   0.750  15.400 
2prv/w3/  4.00   0.750  13.280 
2prv/w3/  4.50   0.750  10.910 
2prv/w3/  5.00   0.750   9.560 
2prv/w3/  5.50   0.750   8.750 
2prv/w3/  6.00   0.750   7.810 
2pv4/w1/  1.95   1.000  17.150 
2pv4/w1/  2.50   1.000  17.440 
2pv4/w1/  3.00   0.800  14.290 
2pv4/w1/  3.50   0.800  11.900 
2pv4/w1/  4.00   0.800   9.500 
2pv4/w1/  4.50   0.800   7.260 
2pv4/w1/  5.00   0.400   5.680 
2pv4/w1/  5.50   0.200   4.790 
2pv4/w1/  6.00   0.000   4.260 
2pv4/w2/  1.95   1.000  20.920 
2pv4/w2/  2.50   0.800  18.710 
2pv4/w2/  3.00   0.800  14.780 
2pv4/w2/  3.50   0.800  11.800 
2pv4/w2/  4.00   0.800   9.300 
2pv4/w2/  4.50   0.600   7.150 
2pv4/w2/  5.00   0.600   5.590 
2pv4/w2/  5.50   0.200   4.610 
2pv4/w2/  6.00   0.000   4.100 
2pv4/w3/  1.95   1.000  21.880 
2pv4/w3/  2.50   0.800  19.170 
2pv4/w3/  3.00   0.800  15.050 
2pv4/w3/  3.50   0.800  11.840 
2pv4/w3/  4.00   0.800   9.260 
2pv4/w3/  4.50   0.800   7.250 
2pv4/w3/  5.00   0.800   5.600 
2pv4/w3/  5.50   0.000   4.680 
2pv4/w3/  6.00   0.200   4.120 
2pw4/w1/  1.45   0.667  23.970 
2pw4/w1/  2.00   0.667  29.310 
2pw4/w1/  2.50   0.667  25.330 
2pw4/w1/  3.00   0.667  20.870 
2pw4/w1/  3.50   0.667  16.220 
2pw4/w1/  4.00   0.667  13.350 
2pw4/w1/  4.50   0.667  11.020 
2pw4/w1/  5.00   0.333   8.950 
2pw4/w1/  5.50   0.000   8.090 
2pw4/w1/  6.00   0.333   7.250 
2pw4/w2/  1.45   0.667  19.580 
2pw4/w2/  2.00   0.667  24.860 
2pw4/w2/  2.50   0.667  22.300 
2pw4/w2/  3.00   0.667  18.650 
2pw4/w2/  3.50   0.667  14.910 
2pw4/w2/  4.00   0.667  11.980 
2pw4/w2/  4.50   0.667  10.100 
2pw4/w2/  5.00   0.667   7.890 
2pw4/w2/  5.50   0.667   7.290 
2pw4/w2/  6.00   0.333   6.640 
2pw4/w3/  1.45   1.000  30.140 
2pw4/w3/  2.00   1.000  34.930 
2pw4/w3/  2.50   0.667  29.560 
2pw4/w3/  3.00   1.000  24.010 
2pw4/w3/  3.50   0.667  18.900 
2pw4/w3/  4.00   0.667  15.500 
2pw4/w3/  4.50   0.667  12.850 
2pw4/w3/  5.00   0.667  10.270 
2pw4/w3/  5.50   0.667   9.270 
2pw4/w3/  6.00   0.667   8.390 
2wcd/w1/  3.29   0.042   3.150 
2wcd/w1/  4.00   0.042   3.630 
2wcd/w1/  4.50   0.042   3.540 
2wcd/w1/  5.00   0.042   3.350 
2wcd/w1/  5.50   0.042   3.000 
2wcd/w1/  6.00   0.042   2.810 
2xdd/w1/  3.20   0.167   1.810 
2xdd/w1/  3.50   0.167   1.940 
2xdd/w1/  4.00   0.167   1.800 
2xdd/w1/  4.50   0.167   1.600 
2xdd/w1/  5.00   0.167   1.410 
2xdd/w1/  5.50   0.083   1.440 
2xdd/w1/  6.00   0.083   1.190 
2zxh/w1/  3.20   0.000  11.590 
2zxh/w1/  3.50   0.000  12.570 
2zxh/w1/  4.00   1.000  13.980 
2zxh/w1/  4.50   1.000  13.420 
2zxh/w1/  5.00   0.091  12.400 
2zxh/w1/  5.50   1.000  11.240 
2zxh/w1/  6.00   1.000  10.260 
3caz/w1/  3.34   1.000  10.360 
3caz/w1/  4.00   1.000  12.020 
3caz/w1/  4.50   1.000  11.600 
3caz/w1/  5.00   1.000  10.350 
3caz/w1/  5.50   1.000   9.530 
3caz/w1/  6.00   0.000   8.550 
3din/w1/  4.50   0.000   0.590 
3din/w1/  5.00   0.000   0.710 
3din/w1/  5.50   0.000   0.800 
3din/w1/  6.00   0.012   0.960 
3dto/w1/  3.32   0.031   4.360 
3dto/w1/  4.00   0.031   4.490 
3dto/w1/  4.50   0.031   4.310 
3dto/w1/  5.00   0.062   3.860 
3dto/w1/  5.50   0.031   3.380 
3dto/w1/  6.00   0.031   3.190 
3fx0/w1/  3.29   0.000  12.390 
3fx0/w1/  3.50   0.500  13.070 
3fx0/w1/  4.00   0.500  11.730 
3fx0/w1/  4.50   0.500  10.470 
3fx0/w1/  5.00   0.000   8.880 
3fx0/w1/  5.50   0.500   7.690 
3fx0/w1/  6.00   0.000   7.270 
3guw/w1/  3.20   0.042   5.130 
3guw/w1/  3.50   0.125   5.210 
3guw/w1/  4.00   0.042   5.220 
3guw/w1/  4.50   0.083   4.400 
3guw/w1/  5.00   0.083   3.790 
3guw/w1/  5.50   0.083   3.440 
3guw/w1/  6.00   0.083   2.960 
3gw7/w1/  3.30   0.750   8.530 
3gw7/w1/  4.00   0.750   9.190 
3gw7/w1/  4.50   0.750   9.360 
3gw7/w1/  5.00   0.750   7.720 
3gw7/w1/  5.50   0.750   7.010 
3gw7/w1/  6.00   0.750   6.110 
3hxk/w1/  3.20   0.500   9.490 
3hxk/w1/  3.50   0.750  10.230 
3hxk/w1/  4.00   0.000  10.780 
3hxk/w1/  4.50   0.750  10.340 
3hxk/w1/  5.00   0.000   9.690 
3hxk/w1/  5.50   0.000   8.730 
3hxk/w1/  6.00   0.000   7.570 
3hxp/w1/  3.20   1.000  11.490 
3hxp/w1/  3.50   1.000  11.580 
3hxp/w1/  4.00   1.000  11.980 
3hxp/w1/  4.50   1.000  10.450 
3hxp/w1/  5.00   1.000   9.360 
3hxp/w1/  5.50   1.000   8.300 
3hxp/w1/  6.00   0.750   6.980 
3lml/w1/  3.30   1.000  16.960 
3lml/w1/  4.00   1.000  16.560 
3lml/w1/  4.50   1.000  15.120 
3lml/w1/  5.00   1.000  13.490 
3lml/w1/  5.50   1.000  12.130 
3lml/w1/  6.00   1.000  11.140 
3mv3/w1/  3.25   0.733   8.410 
3mv3/w1/  4.00   0.733   9.060 
3mv3/w1/  4.50   0.733   8.610 
3mv3/w1/  5.00   0.800   7.930 
3mv3/w1/  5.50   0.800   7.360 
3mv3/w1/  6.00   0.800   6.720 
3ov0/w1/  3.20   1.000  11.110 
3ov0/w1/  3.50   1.000  11.340 
3ov0/w1/  4.00   1.000  11.080 
3ov0/w1/  4.50   1.000   9.790 
3ov0/w1/  5.00   0.333   8.370 
3ov0/w1/  5.50   0.000   6.960 
3ov0/w1/  6.00   0.083   5.940 
3pg5/w1/  3.30   0.042  11.950 
3pg5/w1/  4.00   1.000  12.280 
3pg5/w1/  4.50   0.000  11.660 
3pg5/w1/  5.00   0.000  10.460 
3pg5/w1/  5.50   0.000   9.130 
3pg5/w1/  6.00   0.042   8.380 
3zgx/w1/  3.40   0.882   8.130 
3zgx/w1/  4.00   0.824   7.920 
3zgx/w1/  4.50   0.824   6.630 
3zgx/w1/  5.00   0.824   6.060 
3zgx/w1/  5.50   0.118   5.570 
3zgx/w1/  6.00   0.118   5.120 
3zxu/w1/  3.80   0.000   8.390 
3zxu/w1/  4.00   0.000   8.390 
3zxu/w1/  4.50   0.900   8.740 
3zxu/w1/  5.00   0.000   9.060 
3zxu/w1/  5.50   0.900   8.930 
3zxu/w1/  6.00   0.000   8.680 
4acb/w1/  3.34   1.000  12.940 
4acb/w1/  4.00   0.000  13.560 
4acb/w1/  4.50   1.000  13.850 
4acb/w1/  5.00   0.000  12.750 
4acb/w1/  5.50   1.000  11.670 
4acb/w1/  6.00   1.000  10.730 
4asn/w1/  3.50   1.000  20.980 
4asn/w1/  4.00   1.000  20.960 
4asn/w1/  4.50   1.000  20.170 
4asn/w1/  5.00   1.000  17.490 
4asn/w1/  5.50   1.000  15.690 
4asn/w1/  6.00   1.000  13.900 
4bql/w1/  3.34   0.000   9.020 
4bql/w1/  4.00   0.136   9.970 
4bql/w1/  4.50   0.000  10.110 
4bql/w1/  5.00   0.000   9.590 
4bql/w1/  5.50   0.045   9.030 
4bql/w1/  6.00   0.136   8.320 
4cb0/w1/  3.30   1.000  17.540 
4cb0/w1/  4.00   1.000  16.080 
4cb0/w1/  4.50   0.182  14.480 
4cb0/w1/  5.00   0.182  12.390 
4cb0/w1/  5.50   0.000  10.650 
4cb0/w1/  6.00   1.000   9.410 
4cbv/w1/  3.40   0.000   7.760 
4cbv/w1/  4.00   0.957   9.100 
4cbv/w1/  4.50   0.000   9.520 
4cbv/w1/  5.00   0.000   9.450 
4cbv/w1/  5.50   0.043   9.080 
4cbv/w1/  6.00   0.043   8.490 
4fsx/w1/  3.20   0.267   9.910 
4fsx/w1/  3.50   0.333  10.130 
4fsx/w1/  4.00   1.000  10.330 
4fsx/w1/  4.50   0.367   9.770 
4fsx/w1/  5.00   0.267   9.060 
4fsx/w1/  5.50   0.167   8.420 
4fsx/w1/  6.00   0.767   7.770 
4g9i/w1/  4.50   0.000   7.710 
4g9i/w1/  5.00   0.000   8.180 
4g9i/w1/  5.50   0.000   8.300 
4g9i/w1/  6.00   0.000   8.190 
4gkw/w1/  3.30   0.100   7.940 
4gkw/w1/  4.00   0.100   9.000 
4gkw/w1/  4.50   0.100   8.660 
4gkw/w1/  5.00   0.200   7.870 
4gkw/w1/  5.50   0.000   7.520 
4gkw/w1/  6.00   0.100   6.980 
4h6y/w1/  4.09   0.026   5.940 
4h6y/w1/  4.50   0.026   5.970 
4h6y/w1/  5.00   0.026   5.580 
4h6y/w1/  5.50   0.051   5.090 
4h6y/w1/  6.00   0.051   4.700 
4hkr/w1/  3.35   0.000   2.640 
4hkr/w1/  4.00   0.250   4.970 
4hkr/w1/  4.50   0.250   8.340 
4hkr/w1/  5.00   0.250   9.440 
4hkr/w1/  5.50   0.250   9.990 
4hkr/w1/  6.00   0.250  10.130 
4hnd/w1/  3.20   1.000  19.600 
4hnd/w1/  3.50   1.000  20.950 
4hnd/w1/  4.00   1.000  22.420 
4hnd/w1/  4.50   1.000  21.770 
4hnd/w1/  5.00   1.000  20.100 
4hnd/w1/  5.50   1.000  18.170 
4hnd/w1/  6.00   1.000  17.230 
4ifq/w1/  3.25   1.000  23.190 
4ifq/w1/  4.00   1.000  24.200 
4ifq/w1/  4.50   1.000  22.130 
4ifq/w1/  5.00   1.000  19.000 
4ifq/w1/  5.50   1.000  16.870 
4ifq/w1/  6.00   1.000  15.080 
4lck/w1/  3.20   0.750  10.610 
4lck/w1/  3.50   0.750  11.310 
4lck/w1/  4.00   0.750  13.450 
4lck/w1/  4.50   0.750  14.430 
4lck/w1/  5.00   0.750  13.590 
4lck/w1/  5.50   0.750  12.700 
4lck/w1/  6.00   0.750  11.590 
4m2s/w1/  4.31   0.000   4.250 
4m2s/w1/  4.50   0.000   4.600 
4m2s/w1/  5.00   0.000   4.880 
4m2s/w1/  5.50   0.000   5.270 
4m2s/w1/  6.00   0.000   5.130 
4nsc/w1/  3.20   0.013   9.590 
4nsc/w1/  3.50   0.987   9.790 
4nsc/w1/  4.00   0.960   9.300 
4nsc/w1/  4.50   0.027   8.380 
4nsc/w1/  5.00   0.027   7.460 
4nsc/w1/  5.50   0.013   6.690 
4nsc/w1/  6.00   0.027   6.020 
4nt5/w1/  3.28   1.000  31.500 
4nt5/w1/  4.00   1.000  34.520 
4nt5/w1/  4.50   1.000  30.120 
4nt5/w1/  5.00   1.000  28.860 
4nt5/w1/  5.50   1.000  24.840 
4nt5/w1/  6.00   1.000  24.490 
4px7/w1/  3.20   1.000  10.380 
4px7/w1/  3.50   1.000  10.770 
4px7/w1/  4.00   1.000  10.700 
4px7/w1/  4.50   1.000  10.120 
4px7/w1/  5.00   1.000   8.520 
4px7/w1/  5.50   1.000   7.150 
4px7/w1/  6.00   0.000   6.620 
4q8j/w1/  3.80   0.018   4.960 
4q8j/w1/  4.50   0.009   5.480 
4q8j/w1/  5.00   0.009   5.930 
4q8j/w1/  5.50   0.018   6.100 
4q8j/w1/  6.00   0.018   6.130 
4qka/w1/  3.20   0.000  15.590 
4qka/w1/  3.50   0.000  15.970 
4qka/w1/  4.00   1.000  16.390 
4qka/w1/  4.50   1.000  15.460 
4qka/w1/  5.00   1.000  13.140 
4qka/w1/  5.50   1.000  11.980 
4qka/w1/  6.00   1.000  10.500 
4tq5/w1/  3.20   1.000  11.290 
4tq5/w1/  3.50   1.000  11.930 
4tq5/w1/  4.00   1.000  12.890 
4tq5/w1/  4.50   1.000  12.320 
4tq5/w1/  5.00   1.000  11.200 
4tq5/w1/  5.50   1.000  10.800 
4tq5/w1/  6.00   1.000   9.710 
