Total of 228 directories 
     key    d_min fraction_found  Signal
2a6b/w4/  3.00   0.000  11.770 
2a6b/w4/  3.50   1.000  11.570 
2a6b/w4/  4.00   1.000  10.490 
2a6b/w4/  4.50   0.000   9.290 
2a6b/w4/  5.00   0.000   7.340 
2a6b/w4/  5.50   0.000   6.350 
2a6b/w4/  6.00   0.000   5.250 
2aj2/w1/  3.21   1.000   9.160 
2aj2/w1/  3.50   0.000   8.720 
2aj2/w1/  4.00   0.125   7.590 
2aj2/w1/  4.50   0.000   6.280 
2aj2/w1/  5.00   0.000   5.240 
2aj2/w1/  5.50   0.000   4.310 
2aj2/w1/  6.00   0.000   3.560 
2aml/w1/  1.50   0.944  23.580 
2aml/w1/  2.00   0.944  24.430 
2aml/w1/  2.50   0.889  20.300 
2aml/w1/  3.00   0.833  15.860 
2aml/w1/  3.50   0.833  12.820 
2aml/w1/  4.00   0.833  10.820 
2aml/w1/  4.50   0.833   9.190 
2aml/w1/  5.00   0.000   7.850 
2aml/w1/  5.50   0.000   6.830 
2aml/w1/  6.00   0.000   5.980 
2aml/w2/  1.50   1.000  34.950 
2aml/w2/  2.00   1.000  29.050 
2aml/w2/  2.50   1.000  22.100 
2aml/w2/  3.00   1.000  16.850 
2aml/w2/  3.50   0.944  13.310 
2aml/w2/  4.00   0.889  11.140 
2aml/w2/  4.50   0.889   9.180 
2aml/w2/  5.00   0.889   7.750 
2aml/w2/  5.50   0.222   6.770 
2aml/w2/  6.00   0.000   6.020 
2avn/w1/  2.35   1.000  13.730 
2avn/w1/  3.00   1.000  14.650 
2avn/w1/  3.50   1.000  14.890 
2avn/w1/  4.00   1.000  13.840 
2avn/w1/  4.50   1.000  12.090 
2avn/w1/  5.00   1.000  10.440 
2avn/w1/  5.50   1.000   8.930 
2avn/w1/  6.00   0.917   7.830 
2avn/w2/  2.44   1.000  10.350 
2avn/w2/  3.00   1.000  12.370 
2avn/w2/  3.50   1.000  12.180 
2avn/w2/  4.00   1.000  11.380 
2avn/w2/  4.50   1.000  10.140 
2avn/w2/  5.00   1.000   8.930 
2avn/w2/  5.50   1.000   7.670 
2avn/w2/  6.00   1.000   6.920 
2avn/w3/  2.44   1.000   9.960 
2avn/w3/  3.00   1.000  11.920 
2avn/w3/  3.50   1.000  11.880 
2avn/w3/  4.00   1.000  11.270 
2avn/w3/  4.50   1.000  10.220 
2avn/w3/  5.00   1.000   9.060 
2avn/w3/  5.50   1.000   7.770 
2avn/w3/  6.00   1.000   7.000 
2b8m/w1/  1.70   1.000  16.690 
2b8m/w1/  2.00   1.000  17.020 
2b8m/w1/  2.50   1.000  15.830 
2b8m/w1/  3.00   1.000  13.110 
2b8m/w1/  3.50   1.000  10.390 
2b8m/w1/  4.00   0.750   8.890 
2b8m/w1/  4.50   0.000   7.330 
2b8m/w1/  5.00   0.000   6.010 
2b8m/w1/  5.50   0.000   4.990 
2b8m/w1/  6.00   0.250   4.390 
2b8m/w2/  1.80   0.250   7.800 
2b8m/w2/  2.00   0.000   7.990 
