GET ATOMIC IMAGES OF A CHOSEN RESOLUTION

input file of scattering factors :
    MX_wk1995_6.SF
truncation radius          11.0000
distance grid step          0.0010
resolution cut-off          1.0000
resolution grid number   2000
temperature factor          0.0000
number of atomic types      7
following atomic types are chosen :
    C    N    O    P    S    Fe   Au  

scattering factors file. First line:
following wk1995.cpp from Phenix

table of scattering factors contains data for  213  atomic types
    6 -Gaussian approximation is used
identified positions in the table
    7    8    9   16   17   27   80

     N     dist       C              N              O              P              S              Fe             Au             
   104     0.1040        9.00089140    11.14055989    13.84900866    32.08673935    33.72699669    59.39436387   219.90331251
   105     0.1050        8.99429561    11.13252754    13.83902713    32.06173509    33.70082281    59.34890303   219.72945490
   106     0.1060        8.98764046    11.12442285    13.82895567    32.03650616    33.67441372    59.30303337   219.55403546
   107     0.1070        8.98092607    11.11624594    13.81879446    32.01105296    33.64776987    59.25675561   219.37705704
   108     0.1080        8.97415254    11.10799696    13.80854364    31.98537591    33.62089168    59.21007050   219.19852255
   109     0.1090        8.96731997    11.09967601    13.79820339    31.95947543    33.59377960    59.16297880   219.01843488
   110     0.1100        8.96042847    11.09128325    13.78777385    31.93335193    33.56643405    59.11548125   218.83679698
   111     0.1110        8.95347816    11.08281879    13.77725520    31.90700585    33.53885549    59.06757861   218.65361181
   112     0.1120        8.94646915    11.07428277    13.76664760    31.88043760    33.51104436    59.01927167   218.46888236
   113     0.1130        8.93940153    11.06567533    13.75595121    31.85364763    33.48300112    58.97056118   218.28261164
   114     0.1140        8.93227544    11.05699659    13.74516620    31.82663636    33.45472621    58.92144794   218.09480268
   115     0.1150        8.92509097    11.04824670    13.73429274    31.79940424    33.42622010    58.87193273   217.90545855
   116     0.1160        8.91784826    11.03942580    13.72333100    31.77195171    33.39748326    58.82201634   217.71458233
   117     0.1170        8.91054740    11.03053401    13.71228114    31.74427920    33.36851614    58.77169958   217.52217714
   118     0.1180        8.90318851    11.02157148    13.70114335    31.71638718    33.33931921    58.72098325   217.32824609
   119     0.1190        8.89577172    11.01253836    13.68991780    31.68827609    33.30989296    58.66986816   217.13279236
   120     0.1200        8.88829713    11.00343477    13.67860466    31.65994640    33.28023785    58.61835513   216.93581913
   121     0.1210        8.88076488    10.99426087    13.66720410    31.63139855    33.25035437    58.56644498   216.73732959
   122     0.1220        8.87317507    10.98501679    13.65571631    31.60263302    33.22024300    58.51413855   216.53732699
   123     0.1230        8.86552783    10.97570269    13.64414146    31.57365026    33.18990423    58.46143668   216.33581457
   124     0.1240        8.85782328    10.96631871    13.63247974    31.54445076    33.15933855    58.40834021   216.13279561
   125     0.1250        8.85006154    10.95686499    13.62073132    31.51503497    33.12854645    58.35484998   215.92827342
   126     0.1260        8.84224273    10.94734168    13.60889639    31.48540339    33.09752844    58.30096685   215.72225132
   127     0.1270        8.83436698    10.93774894    13.59697513    31.45555648    33.06628501    58.24669169   215.51473266
   128     0.1280        8.82643441    10.92808690    13.58496773    31.42549474    33.03481668    58.19202536   215.30572080
   129     0.1290        8.81844515    10.91835573    13.57287438    31.39521864    33.00312394    58.13696874   215.09521916
   130     0.1300        8.81039932    10.90855557    13.56069526    31.36472868    32.97120732    58.08152270   214.88323114
   131     0.1310        8.80229705    10.89868658    13.54843057    31.33402536    32.93906732    58.02568813   214.66976019
   132     0.1320        8.79413847    10.88874891    13.53608048    31.30310916    32.90670448    57.96946593   214.45480978
   133     0.1330        8.78592371    10.87874272    13.52364520    31.27198059    32.87411930    57.91285699   214.23838339
   134     0.1340        8.77765290    10.86866816    13.51112492    31.24064015    32.84131233    57.85586221   214.02048454
   135     0.1350        8.76932617    10.85852539    13.49851984    31.20908836    32.80828408    57.79848251   213.80111676
